Gender,College,Course,How important do you think cybersecurity is in today's digital age?,Did you attend the cybersecurity workshop?,How effective do you think the workshop was in enhancing your understanding of cybersecurity?,Which specific aspects or topics covered in the workshop did you find most valuable in enhancing your understanding of cybersecurity? (Select all that apply),Have you taken any actions or implemented any practices related to cybersecurity that you learned from the workshop?,How confident are you in your ability to practice good cybersecurity measures after attending the workshop?,Do you have any suggestions for improving future cybersecurity workshops or awareness initiatives for first-year engineering students? (Open-ended),,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,5,Do not share your password to any one even if it's your parents,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No suggestion ,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,1,Yes,5,Safe online practices;Cyber ethics and responsibility,Yes,4,NA,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,No,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Safe online practices,No,5,No,,,,,,,,,,,,,,
Female,CST,BE in Instrumentation and Control Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Cyber ethics and responsibility,Yes,4,"No suggestion
",,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,4,Safe online practices;Cybersecurity tools and software,Yes,4,Nil,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,No,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Real-life case studies;Cyber ethics and responsibility,Yes,4,No,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Real-life case studies;,No,3,Some short video clips ,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No comment ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,"The attendance can be taken seriously , and correct timing for workshop .
",,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,5,Real-life case studies,Yes,5,None,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No ,,,,,,,,,,,,,,
Male,CST,BE in Instrumentation and Control Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Na,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Nothing,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,Time management required ,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies,Yes,5,It would be helpful if more examples of real life incidents are included,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,More participant required ,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,No,,,,,,,,,,,,,,
Female,CST,BE in Instrumentation and Control Engineering,5,Yes,4,Cyber threats and vulnerabilities,Yes,4,"It was monotonous, try to involve more activity driven presentation and the information given are not new",,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,5,Safe online practices,Yes,5,No comments ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cyber ethics and responsibility,No,5,Give certificate course workshop for longer duration.,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,4,Cyber ethics and responsibility,Yes,4,No suggestions ,,,,,,,,,,,,,,
Female,CST,BE in Instrumentation and Control Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Let all the student to attain workshop,,,,,,,,,,,,,,
Male,CST,BE in Instrumentation and Control Engineering,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,Nothing ,,,,,,,,,,,,,,
Male,CST,BE in Instrumentation and Control Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility;,Yes,4,Nothing,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,No,5,Cyber threats and vulnerabilities;Cybersecurity tools and software,Yes,5,Nothing as such ,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No,,,,,,,,,,,,,,
Male,CST,BE in Instrumentation and Control Engineering,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies,Yes,4,>letting the workshop be more of activity and less theory ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,No,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Cyber ethics and responsibility,Yes,5,Nil,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,4,Safe online practices;Real-life case studies;Cyber ethics and responsibility,No,5,Nothing.,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,No,5,Safe online practices,Yes,4,No comments ,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,By including some video in presentation.,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility;,Yes,4,No suggestion,,,,,,,,,,,,,,
Male,CST,Instrumentation and Control Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies,Yes,4,Add some videos for entertainment purposes and more information on the topic.,,,,,,,,,,,,,,
Male,CST,BE in Instrumentation and Control Engineering,5,Yes,4,Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,3,If anti cybersecurity studies can be implemented in our carrier ,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,5,Real-life case studies,Yes,3,Well Sir/Madam  It would be nice if you and your team could come up with those victims who suffered this cyber bullying so that we could feel and understand their emotion and would  learn more.,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,To show more links which can secure our accounts and passwords ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software,No,5,No ,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No comment ,,,,,,,,,,,,,,
Female,CST,BE in Instrumentation and Control Engineering,4,Yes,5,Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,No,,,,,,,,,,,,,,
Male,JNEC,Diploma in Civil Engineering,5,Yes,5,Cyber threats and vulnerabilities;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No comments la,,,,,,,,,,,,,,
Female,JNEC,Diploma in Electrical Engineering,5,Yes,4,Safe online practices;Cybersecurity tools and software,Yes,4,Nil,,,,,,,,,,,,,,
Female,JNEC,Diploma in Mechanical Engineering,5,Yes,3,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,3,No comments ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Computer System and Network,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies;Cyber ethics and responsibility,Yes,4,none,,,,,,,,,,,,,,
Male,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,NA,,,,,,,,,,,,,,
Female,JNEC,Diploma in Surveying,5,Yes,5,Cyber threats and vulnerabilities;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Nope,,,,,,,,,,,,,,
Female,JNEC,Diploma in Materials and Procurement Management,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,No,,,,,,,,,,,,,,
Male,JNEC,Diploma in Construction Supervision,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,3,No comment ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Civil Engineering,5,Yes,3,Real-life case studies,Yes,5,None,,,,,,,,,,,,,,
Other,JNEC,Diploma in Electrical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,5,Thank you,,,,,,,,,,,,,,
Male,JNEC,Diploma in Mechanical Engineering,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,Hope Cuber security awareness continous ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Computer System and Network,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No.,,,,,,,,,,,,,,
Female,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies;Cyber ethics and responsibility,No,5,None,,,,,,,,,,,,,,
Female,JNEC,Diploma in Surveying,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Yes,,,,,,,,,,,,,,
Male,JNEC,Diploma in Materials and Procurement Management,5,Yes,5,Safe online practices,No,5,No ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Construction Supervision,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,I don't have anything to say right now,,,,,,,,,,,,,,
Female,JNEC,Diploma in Civil Engineering,4,No,5,Safe online practices;Cyber ethics and responsibility,Yes,4,No,,,,,,,,,,,,,,
Female,JNEC,Diploma in Electrical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Mechanical Engineering,5,No,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,Teach cyber security to students,,,,,,,,,,,,,,
Female,JNEC,Diploma in Computer System and Network,5,Yes,3,Cybersecurity tools and software,No,3,No as such ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,3,Cybersecurity tools and software,No,3,No,,,,,,,,,,,,,,
Male,JNEC,Diploma in Surveying,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No comments,,,,,,,,,,,,,,
Female,JNEC,Diploma in Materials and Procurement Management,5,No,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,Nothing ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Construction Supervision,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,N9 comments ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Civil Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,Please provide anti-virus software for free,,,,,,,,,,,,,,
Female,JNEC,Diploma in Electrical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,5,.,,,,,,,,,,,,,,
Male,JNEC,Diploma in Mechanical Engineering,4,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No.,,,,,,,,,,,,,,
Female,JNEC,Diploma in Computer System and Network,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,.,,,,,,,,,,,,,,
Male,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Nill,,,,,,,,,,,,,,
Female,JNEC,Diploma in Surveying,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No,,,,,,,,,,,,,,
Male,JNEC,Diploma in Materials and Procurement Management,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No comments ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Construction Supervision,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,5,Do not share your password to any one even if it's your parents,,,,,,,,,,,,,,
Female,JNEC,Diploma in Civil Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No suggestion ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Electrical Engineering,1,Yes,5,Safe online practices;Cyber ethics and responsibility,Yes,4,NA,,,,,,,,,,,,,,
Male,JNEC,Diploma in Mechanical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No,,,,,,,,,,,,,,
Female,JNEC,Diploma in Computer System and Network,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,No,,,,,,,,,,,,,,
Male,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,5,Safe online practices,No,5,No,,,,,,,,,,,,,,
Female,JNEC,Diploma in Surveying,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Cyber ethics and responsibility,Yes,4,"No suggestion
",,,,,,,,,,,,,,
Female,JNEC,Diploma in Materials and Procurement Management,5,Yes,4,Safe online practices;Cybersecurity tools and software,Yes,4,Nil,,,,,,,,,,,,,,
Female,JNEC,Diploma in Construction Supervision,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,No,,,,,,,,,,,,,,
Female,JNEC,Diploma in Civil Engineering,5,Yes,4,Cyber threats and vulnerabilities;Real-life case studies;Cyber ethics and responsibility,Yes,4,No,,,,,,,,,,,,,,
Male,JNEC,Diploma in Electrical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Real-life case studies;,No,3,Some short video clips ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Mechanical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No comment ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Computer System and Network,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,"The attendance can be taken seriously , and correct timing for workshop .
",,,,,,,,,,,,,,
Male,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,5,Real-life case studies,Yes,5,None,,,,,,,,,,,,,,
Female,JNEC,Diploma in Surveying,5,Yes,5,Cyber threats and vulnerabilities;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Materials and Procurement Management,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Na,,,,,,,,,,,,,,
Female,JNEC,Diploma in Construction Supervision,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Nothing,,,,,,,,,,,,,,
Male,JNEC,Diploma in Civil Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,Time management required ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Electrical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies,Yes,5,It would be helpful if more examples of real life incidents are included,,,,,,,,,,,,,,
Male,JNEC,Diploma in Mechanical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,More participant required ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Computer System and Network,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,No,,,,,,,,,,,,,,
Female,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,4,Cyber threats and vulnerabilities,Yes,4,"It was monotonous, try to involve more activity driven presentation and the information given are not new",,,,,,,,,,,,,,
Male,JNEC,Diploma in Surveying,5,Yes,5,Safe online practices,Yes,5,No comments ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Materials and Procurement Management,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cyber ethics and responsibility,No,5,Give certificate course workshop for longer duration.,,,,,,,,,,,,,,
Female,JNEC,Diploma in Construction Supervision,5,Yes,4,Cyber ethics and responsibility,Yes,4,No suggestions ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Civil Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Let all the student to attain workshop,,,,,,,,,,,,,,
Male,JNEC,Diploma in Electrical Engineering,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,Nothing ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Mechanical Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility;,Yes,4,Nothing,,,,,,,,,,,,,,
Male,JNEC,Diploma in Computer System and Network,5,No,5,Cyber threats and vulnerabilities;Cybersecurity tools and software,Yes,5,Nothing as such ,,,,,,,,,,,,,,
Female,JNEC,Diploma in Electronics and Communication Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No,,,,,,,,,,,,,,
Male,JNEC,Diploma in Surveying,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies,Yes,4,>letting the workshop be more of activity and less theory ,,,,,,,,,,,,,,
Male,JNEC,Diploma in Materials and Procurement Management,5,No,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Cyber ethics and responsibility,Yes,5,Nil,,,,,,,,,,,,,,
Male,JNEC,Diploma in Construction Supervision,5,Yes,4,Safe online practices;Real-life case studies;Cyber ethics and responsibility,No,5,Nothing.,,,,,,,,,,,,,,
Male,JNEC,Diploma in Civil Engineering,5,No,5,Safe online practices,Yes,4,No comments ,,,,,,,,,,,,,,
